Аудиодорожки,Субтитры,Качество видео,Год производства,Страна,Жанр,Слоган,Режиссер,Сценарий,Продюсер,Оператор,Композитор,Художник,Монтаж,Бюджет,Маркетинг,Сборы в США,Сборы в мире,Зрители,Премьера в Росcии,Премьера в мире,Релиз на DVD,Возраст,Рейтинг MPAA,Время,Название фильма,Актеры,Оценка фильма,Релиз на Blu-ray,Сборы в России,Ре-релиз (РФ),Цифровой релиз,Директор фильма,4K доступно только на больших экранах,Платформа
,,,['1994'],"['Франция, США']","['боевик, триллер, драма, криминал']","['«Вы не можете остановить того, кого не видно»']",['Люк Бессон'],['Люк Бессон'],"['Клод Бессон, Джон Гарлэнд, Бернард Гренет']",['Тьерри Арбогаст'],['Эрик Серра'],"['Дэн Вейл, Жерар Дролон, Магали Гвидаси, ...']",['Сильви Ландра'],['FRF 115 000 000'],,['$19 501 238'],['+ $51 401 = $19 552 639'],['4.7 млн'],"['27 февраля 1995, «Мост-медиа»']","['14 сентября 1994, ...']","['29 марта 2007, «CP-Digital»']",['16+'],['R'],['133 мин. / 02:13'],"['Леон (1994)', 'Léon16+']","['Жан Рено', 'Натали Портман', 'Гари Олдман', 'Дэнни Айелло', 'Питер Эппел', 'Уилли Уан Блад', 'Дон Крич', 'Кит А. Гласко', 'Рэндольф Скотт', 'Майкл Бадалукко']",['8.7'],"['10 ноября 2010, «Кармен Видео»']",,,,,,
['Русский'],['Нет'],[],['2000'],"['Россия, США']","['боевик, криминал']",['«Данила возвращается!»'],['Алексей Балабанов'],['Алексей Балабанов'],"['Валери Гобо, Сергей Сельянов, Тимоти Е. Сабо, ...']",['Сергей Астахов'],['Вячеслав Бутусов'],"['Александр Гиляревский, Деба Грэй, Джуди Кропш, ...']",['Марина Липартия'],['$1 500 000'],,,['$543 825'],['148.7 тыс'],"['11 мая 2000, «Интерсинема-Арт», «СТВ»']","['30 августа 2000, ...']","['13 сентября 2007, «Союз-Видео»']",['16+'],,['127 мин. / 02:07'],"['Брат 2 (2000)', '16+']","['Сергей Бодров мл.', 'Виктор Сухоруков', 'Сергей Маковецкий', 'Ирина Салтыкова', 'Кирилл Пирогов', 'Александр Дьяченко', 'Дарья Юргенс', 'Александр Наумов', 'Александр Карамнов', 'Гэри Хьюстон']",['8.2'],,['$1 080 000'],"['24 марта 2022, «Наше Кино»']",,,,
,,,['1972'],['США'],"['драма, криминал']","['«Настоящая сила не может быть дана, она может быть взята...»']",['Фрэнсис Форд Коппола'],"['Фрэнсис Форд Коппола, Марио Пьюзо']","['Грэй Фредериксон, Альберт С. Радди']",['Гордон Уиллис'],['Нино Рота'],"['Дин Тавуларис, Уоррен Клаймер, Анна Хилл Джонстоун, ...']","['Уильям Рейнольдс, Питер Зиннер']",['$6 000 000'],,['$133 698 921'],['+ $110 163 857 = $243 862 778'],['78.9 млн'],"['24 февраля 2022, «Централ Партнершип»']","['14 марта 1972, ...']","['26 декабря 2002, «DVD Магия»']",['16+'],['R'],['175 мин. / 02:55'],"['Крестный отец (1972)', 'The Godfather16+']","['Марлон Брандо', 'Аль Пачино', 'Джеймс Каан', 'Роберт Дювалл', 'Ричард С. Кастеллано', 'Дайан Китон', 'Талия Шайр', 'Джон Казале', 'Аль Леттьери', 'Стерлинг Хейден']",['8.7'],"['19 августа 2013, «Новый Диск»']",['$151 566'],,,,,
['Русский'],['Нет'],[],['1977'],['СССР'],"['мелодрама, комедия, драма']",['—'],['Эльдар Рязанов'],"['Эмиль Брагинский, Эльдар Рязанов']",,['Владимир Нахабцев'],['Андрей Петров'],"['Александр Борисов, Сергей Воронков']","['Валерия Белова, Элеонора Праксина']",,,,,['58.4 млн'],,"['26 октября 1977, ...']","['11 января 2011, «Парадиз»']",['6+'],,['159 мин. / 02:39'],"['Служебный роман (1977)', '6+']","['Андрей Мягков', 'Алиса Фрейндлих', 'Светлана Немоляева', 'Олег Басилашвили', 'Лия Ахеджакова', 'Георгий Бурков', 'Зоя Исаева', 'Людмила Иванова', 'Петр Щербаков', 'Мария Виноградова']",['8.3'],"['3 апреля 2012, «Парадиз»']",,,,['Карлен Агаджанов'],,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['2018'],"['США, Китай']","['биография, комедия, драма']",['«Inspired by a True Friendship»'],['Питер Фаррелли'],"['Ник Валлелонга, Брайан Хэйес Карри, Питер Фаррелли']","['Джим Бёрк, Брайан Хэйес Карри, Стивен Фарнет, ...']",['Шон Портер'],['Крис Бауэрс'],"['Тим Галвин, Скотт Плоше, Бетси Хайман, ...']",['Патрик Дж. Дон Вито'],['$23 000 000'],,['$85 080 171'],['+ $236 672 485 = $321 752 656'],,"['24 января 2019, «Capella Film»']","['11 сентября 2018, ...']",,['16+'],['PG-13'],['130 мин. / 02:10'],"['Зеленая книга (2018)', 'Green Book16+']","['Вигго Мортенсен', 'Махершала Али', 'Линда Карделлини', 'Себастьян Манискалко', 'Димитар Маринов', 'Майк Хаттон', 'П.Дж. Бирн', 'Джо Кортезе', 'Мэгги Никсон', 'Фон Льюис']",['8.4'],,['$9 319 859'],,"['25 февраля 2019, «Capella Film»']",,['Установить на ТВ'],
"['Русский, Английский']",['Русские'],[],['2008'],"['США, Великобритания']","['драма, семейный, биография']","['«Подлинная история веры, преданности и вечной любви»']",['Лассе Халльстрём'],"['Стефен П. Линдси, Канэто Синдо']","['Джефф Абберли, Джулия Блэкман, Джули Кристин, ...']",['Ренато Фортунато'],['Ян А.П. Качмарек'],"['Чад Детуиллер, Джордан Джейкобс, Дебора Ньюхолл, ...']",['Кристина Боден'],['$16 000 000'],,,['$46 184 345'],['858.4 тыс'],"['22 октября 2009, «Вольга»']","['13 июня 2009, ...']","['26 ноября 2009, «Вольга»']",['12+'],['G'],['89 мин. / 01:29'],"['Хатико: Самый верный друг (2008)', ""Hachi: A Dog's Tale12+""]","['Ричард Гир', 'Джоан Аллен', 'Кэри-Хироюки Тагава', 'Сара Ремер', 'Джейсон Александер', 'Эрик Авари', 'Давиния МакФэдден', 'Робби Саблетт', 'Кевин ДеКосте', 'Роб Деньян']",['8.3'],,['$2 046 840'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['2006'],['США'],"['фэнтези, боевик, приключения']",['«Jack is back! Never trust a pirate!»'],['Гор Вербински'],"['Тед Эллиот, Терри Россио, Стюарт Битти, ...']","['Джерри Брукхаймер, Брюс Хендрикс, Джек Ни, ...']",['Дариуш Вольски'],['Ханс Циммер'],"['Рик Хайнрихс, Брюс Кроун, Джон Декстер, ...']","['Стивен Е. Ривкин, Крэйг Вуд']",['$225 000 000'],,['$423 315 812'],['+ $642 863 913 = $1 066 179 725'],['64.6 млн'],"['13 июля 2006, «Каскад фильм»']","['24 июня 2006, ...']","['3 апреля 2012, «ВС трейд»']",['12+'],['PG-13'],['151 мин. / 02:31'],"['Пираты Карибского моря: Сундук мертвеца (2006)', ""Pirates of the Caribbean: Dead Man's Chest12+""]","['Джонни Депп', 'Орландо Блум', 'Кира Найтли', 'Джек Девенпорт', 'Билл Найи', 'Стеллан Скарсгард', 'Кевин МакНэлли', 'Ли Аренберг', 'Макензи Крук', 'Том Холландер']",['8.1'],"['1 октября 2009, «Уолт Дисней Компани СНГ»']",['$27 512 316'],,,,,
['Русский'],['Нет'],[],['1968'],['СССР'],"['комедия, криминал']",['«Кинороман в 2-ух частях из жизни контрабандистов»'],['Леонид Гайдай'],"['Леонид Гайдай, Яков Костюковский, Морис Слободской']",,['Игорь Черных'],['Александр Зацепин'],['Феликс Ясюкевич'],['Валентина Янковская'],,,,,['76.7 млн'],,"['28 апреля 1969, ...']","['29 апреля 2009, «Азимут»']",['16+'],['PG-13'],['94 мин. / 01:34'],"['Бриллиантовая рука (1968)', '16+']","['Юрий Никулин', 'Андрей Миронов', 'Анатолий Папанов', 'Нина Гребешкова', 'Станислав Чекан', 'Владимир Гуляев', 'Нонна Мордюкова', 'Светлана Светличная', 'Роман Филиппов', 'Григорий Шпигель']",['8.5'],"['20 декабря 2011, «Парадиз»']",,,,['Аркадий Ашкинази'],,
"['Русский, Английский']",['Русские'],[],['1992'],['США'],['драма'],"[""«Col. Frank Slade has a very special plan for the weekend. It involves travel, women, good food, fine wine, the tango, chauffeured limousines and a loaded forty-five. And he's bringing Charlie along for the ride»""]",['Мартин Брест'],"['Бо Голдмэн, Руджеро Маккари, Дино Ризи, ...']","['Мартин Брест, Овидио Г. Ассонитис, Дж. Мак Браун, ...']",['Дональд И. Торин'],['Томас Ньюман'],"['Анджело П. Грэхэм, В. Стивен Грэхэм, Од Бронсон-Хауард, ...']","['Харви Розенсток, Уильям Стайнкамп, Майкл Троник']",['$31 000 000'],,['$63 095 253'],['+ $71 000 000 = $134 095 253'],['15.2 млн'],"['17 сентября 1993, «Ист-Вест»']","['23 декабря 1992, ...']","['18 ноября 2008, «Юниверсал Пикчерс Рус»']",['16+'],['R'],['156 мин. / 02:36'],"['Запах женщины (1992)', 'Scent of a Woman16+']","['Аль Пачино', 'Крис О’Доннелл', 'Джеймс Ребхорн', 'Габриель Анвар', 'Филип Сеймур Хоффман', 'Ричард Венчур', 'Брэдли Уитфорд', 'Рошель Оливер', 'Маргарет Эджинтон', 'Том Риис Фаррелл']",['8.4'],"['17 августа 2010, «Юниверсал Пикчерс Рус»']",,,,,,
['Русский'],['Нет'],[],['1959'],['СССР'],"['драма, военный']",['—'],['Сергей Бондарчук'],"['Юрий Лукин, Федор Шахмагонов, Михаил Шолохов']",,['Владимир Монахов'],['Вениамин Баснер'],"['Ипполит Новодережкин, Сергей Воронков, Орест Верейский']",['Татьяна Лихачева'],,,,,['39.2 млн'],,"['12 апреля 1959, ...']",,['12+'],,['97 мин. / 01:37'],"['Судьба человека (1959)', '12+']","['Сергей Бондарчук', 'Павел Полунин', 'Зинаида Кириенко', 'Павел Волков', 'Юрий Аверин', 'Кирилл Алексеев', 'Павел Винников', 'Евгений Тетерин', 'Анатолий Чемодуров', 'Лев Борисов']",['8.4'],,,,,['Глеб Кузнецов'],,
"['Русский, Русский 5.1, Английский']",['Русские'],[],['2002'],"['Великобритания, США']","['фэнтези, приключения, семейный']",['«Зло вернулось в Хогвартс»'],['Крис Коламбус'],"['Стивен Кловз, Дж.К. Роулинг']","['Дэвид Хейман, Майкл Барнатан, Дэвид Баррон, ...']",['Роджер Прэтт'],['Джон Уильямс'],"['Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...']",['Питер Хонесс'],['$100 000 000'],['$50 000 000'],['$261 988 482'],['+ $616 991 152 = $878 979 634'],['45.1 млн'],"['26 декабря 2002, «Каро-Премьер»']","['3 ноября 2002, ...']","['22 апреля 2003, «Premier Digital»']",['12+'],['PG'],['161 мин. / 02:41'],"['Гарри Поттер и Тайная комната (2002)', 'Harry Potter and the Chamber of Secrets12+']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон', 'Том Фелтон', 'Кеннет Брана', 'Бонни Райт', 'Алан Рикман', 'Ричард Харрис', 'Мэгги Смит', 'Робби Колтрейн']",['8.1'],"['20 января 2009, «Юниверсал Пикчерс Рус»']",['$8 000 000'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['2016'],['США'],"['мультфильм, комедия, криминал, детектив, приключения, семейный']",['«Welcome to the urban jungle»'],"['Байрон Ховард, Рич Мур, Джаред Буш']","['Байрон Ховард, Рич Мур, Джаред Буш, ...']","['Моника Лаго-Кэйтис, Джон Лассетер, Брэд Симонсен, ...']",['Нэйтан Уорнер'],['Майкл Джаккино'],"['Дэн Купер, Дэвид Гетц, Маттиас Лехнер']","['Джереми Милтон, Фабьен Роули']",['$150 000 000'],,['$341 268 248'],['+ $682 515 947 = $1 023 784 195'],,"['3 марта 2016, «WDSSPR»']","['11 февраля 2016, ...']",,['6+'],['PG'],['108 мин. / 01:48'],"['Зверополис (2016)', 'Zootopia6+']","['Джиннифер Гудвин', 'Джейсон Бейтман', 'Идрис Эльба', 'Дженни Слейт', 'Нейт Торренс', 'Бонни Хант', 'Дон Лейк', 'Томми Чонг', 'Дж.К. Симмонс', 'Октавия Спенсер']",['8.3'],,['$39 664 652'],,"['7 июня 2016, «Уолт Дисней Компани СНГ»']",,,
['Русский (SDI Media)'],['Нет'],[],['2002'],"['Франция, Польша, Великобритания, Германия']","['драма, военный, биография, музыка']",['«Music was his passion. Survival was his masterpiece»'],['Роман Полански'],"['Рональд Харвуд, Владислав Шпильман']","['Роберт Бенмусса, Роман Полански, Ален Сард, ...']",['Павел Эдельман'],['Войцех Киляр'],"['Аллан Старски, Ненад Пекур, Анна Б. Шеппард, ...']",['Эрве де Люз'],['$35 000 000'],['$10 000 000'],['$32 572 577'],['+ $87 500 000 = $120 072 577'],['5.2 млн'],"['8 мая 2003, «Союз»']","['24 мая 2002, ...']","['31 июля 2003, «Союз-Видео»']",['16+'],['R'],['149 мин. / 02:29'],"['Пианист (2002)', 'The Pianist16+']","['Эдриан Броуди', 'Эмилия Фокс', 'Даниэль Кальтаджироне', 'Эд Стоппард', 'Морин Липман', 'Фрэнк Финлей', 'Джессика Кейт Мейер', 'Джулия Рейнер', 'Томас Кречман', 'Михал Жебровский']",['8.5'],,['$178 606'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']",['Русские'],[],['2010'],['США'],"['мультфильм, фэнтези, комедия, приключения, семейный']",['«One adventure will change two worlds»'],"['Дин ДеБлуа, Крис Сандерс']","['Уильям Дэвис, Дин ДеБлуа, Крис Сандерс, ...']","['Бонни Арнольд, Кристин Белсон, Сюзанн Бёрги, ...']",['Джил Циммерман'],['Джон Пауэлл'],"['Кэти Алтери, Пьер-Оливье Винсент']","['Марианн Брэндон, Даррен Т. Холмс']",['$165 000 000'],,['$217 581 231'],['+ $277 297 528 = $494 878 759'],['27.6 млн'],"['18 марта 2010, «Централ Партнершип»']","['18 марта 2010, ...']","['2 ноября 2010, «Юниверсал Пикчерс Рус»']",['6+'],['PG'],['98 мин. / 01:38'],"['Как приручить дракона (2010)', 'How to Train Your Dragon6+']","['Джей Барушель', 'Джерард Батлер', 'Крэйг Фергюсон', 'Америка Феррера', 'Джона Хилл', 'Кристофер Минц-Плассе', 'ТиДжей Миллер', 'Кристен Уиг', 'Робин Аткин Даунс', 'Филип МакГрэйд']",['8.2'],"['2 ноября 2010, «Юниверсал Пикчерс Рус»']",['$23 485 237'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['2007'],['США'],"['мультфильм, приключения, комедия, семейный, фэнтези, драма']",['«Он до смерти хочет стать шеф-поваром»'],"['Брэд Бёрд, Ян Пинкава']","['Брэд Бёрд, Ян Пинкава, Джим Капобьянко, ...']","['Джон Лассетер, Брэд Льюис, Эндрю Стэнтон, ...']",,['Майкл Джаккино'],"['Харли Джессуп, Rodney G. Halls']",['Даррен Т. Холмс'],['$150 000 000'],,['$206 445 654'],['+ $417 277 164 = $623 722 818'],['30 млн'],"['28 июня 2007, «BVSPR»']","['22 июня 2007, ...']","['24 мая 2011, «Уолт Дисней Компани СНГ»']",['0+'],['G'],['111 мин. / 01:51'],"['Рататуй (2007)', 'Ratatouille0+']","['Пэттон Освальт', 'Иэн Холм', 'Лу Романо', 'Брайан Деннехи', 'Питер Сон', 'Питер О’Тул', 'Брэд Гэррет', 'Джанин Гарофало', 'Уилл Арнетт', 'Джулиус Каллахан']",['8.0'],"['11 февраля 2010, «Уолт Дисней Компани СНГ»']",['$10 147 600'],,,,,
['Русский'],['Нет'],[],['1966'],['СССР'],"['комедия, приключения, мелодрама, мюзикл']",['—'],['Леонид Гайдай'],"['Леонид Гайдай, Яков Костюковский, Морис Слободской']",,['Константин Бровин'],['Александр Зацепин'],"['Владимир Каплуновский, Н. Абакумов, Н. Шимилис']",['Валентина Янковская'],['р. 25 313'],,,,['76.5 млн'],,"['1 апреля 1967, ...']","['16 сентября 2008, «Lizard Cinema Trade»']",['6+'],,['82 мин. / 01:22'],"['Кавказская пленница, или Новые приключения Шурика (1966)', '6+']","['Александр Демьяненко', 'Наталья Варлей', 'Юрий Никулин', 'Георгий Вицин', 'Евгений Моргунов', 'Владимир Этуш', 'Фрунзик Мкртчян', 'Руслан Ахметов', 'Нина Гребешкова', 'Михаил Глузский']",['8.5'],"['26 мая 2011, «Парадиз»']",,,,['Л. Фрейдин'],,
"['Русский, Английский']","['Русские, Английские']",[],['1990'],['США'],"['комедия, семейный']","[""«When Kevin's Family Left For Vacation, They Forgot One Minor Detail: Kevin. But Don't Worry... He Cooks. He Cleans. He Kicks Some Butt»""]",['Крис Коламбус'],['Джон Хьюз'],"['Тарквин Готч, Джон Хьюз, Марк Левинсон, ...']",['Хулио Макат'],['Джон Уильямс'],"['Джон Муто, Дэн Уэбстер, Джей Хёрли, ...']",['Раджа Госнелл'],['$18 000 000'],,['$285 761 243'],['+ $190 923 432 = $476 684 675'],['67.7 млн'],,"['10 ноября 1990, ...']","['13 декабря 2005, «Гемини-Фильм»']",['0+'],['PG'],['103 мин. / 01:43'],"['Один дома (1990)', 'Home Alone0+']","['Маколей Калкин', 'Джо Пеши', 'Дэниел Стерн', 'Кэтрин О’Хара', 'Джон Хёрд', 'Робертс Блоссом', 'Джерри Бэммен', 'Девин Рэтрей', 'Джон Кэнди', 'Киран Калкин']",['8.3'],,,,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Иностранная речь']",[],['1974'],['США'],"['драма, криминал']","[""«All the power on earth can't change destiny»""]",['Фрэнсис Форд Коппола'],"['Фрэнсис Форд Коппола, Марио Пьюзо']","['Фрэнсис Форд Коппола, Грэй Фредериксон, Фред Рус, ...']",['Гордон Уиллис'],['Нино Рота'],"['Дин Тавуларис, Анджело П. Грэхэм, Джон Дэппер, ...']","['Бэрри Малкин, Ричард Маркс, Питер Зиннер']",['$13 000 000'],,['$47 542 841'],['+ $100 594 = $47 643 435'],['29.4 млн'],,"['12 декабря 1974, ...']","['24 ноября 2009, «Юниверсал Пикчерс Рус»']",['16+'],['R'],['202 мин. / 03:22'],"['Крестный отец 2 (1974)', 'The Godfather: Part II16+']","['Аль Пачино', 'Роберт Де Ниро', 'Дайан Китон', 'Роберт Дювалл', 'Джон Казале', 'Ли Страсберг', 'Майкл В. Гаццо', 'Талия Шайр', 'Г.Д. Спрэдлин', 'Гастоне Москин']",['8.5'],"['19 августа 2013, «Новый Диск»']",,,,,,
"['Русский, Английский']","['Русские, Английские, Перевод надписей']",[],['2012'],"['США, Великобритания']","['фантастика, боевик, триллер, драма, криминал']",['«И разгорится пламя»'],['Кристофер Нолан'],"['Джонатан Нолан, Кристофер Нолан, Дэвид С. Гойер, ...']","['Кристофер Нолан, Чарльз Ровен, Эмма Томас, ...']",['Уолли Пфистер'],['Ханс Циммер'],"['Нэйтан Краули, Кевин Кэвэно, Тоби Бриттон, ...']",['Ли Смит'],['$250 000 000'],,['$448 139 099'],['+ $632 902 188 = $1 081 041 287'],['56.3 млн'],"['26 июля 2012, «Каро-Премьер»']","['16 июля 2012, ...']","['28 ноября 2012, «CP Дистрибуция»']",['16+'],['PG-13'],['165 мин. / 02:45'],"['Темный рыцарь: Возрождение легенды (2012)', 'The Dark Knight Rises16+']","['Кристиан Бэйл', 'Том Харди', 'Энн Хэтэуэй', 'Джозеф Гордон-Левитт', 'Марион Котийяр', 'Гари Олдман', 'Морган Фриман', 'Майкл Кейн', 'Мэттью Модайн', 'Бен Мендельсон']",['8.2'],"['28 ноября 2012, «CP Дистрибуция»']",['$17 143 190'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']",['Русские'],[],['1990'],['США'],"['фантастика, комедия, приключения, вестерн, семейный']",['«Лучшее путешествие они оставили напоследок... Но в этот раз они зашли слишком далеко...»'],['Роберт Земекис'],"['Роберт Земекис, Боб Гейл']","['Нил Кэнтон, Боб Гейл, Кэтлин Кеннеди, ...']",['Дин Канди'],['Алан Сильвестри'],"['Рик Картер, Марджи Стоун МакШирли, Уильям Джеймс Тигарден, ...']","['Гарри Керамидас, Артур Шмидт']",['$40 000 000'],,['$87 727 583'],['+ $156 800 000 = $244 527 583'],['20.7 млн'],,"['25 мая 1990, ...']","['20 ноября 2003, «Premier Digital»']",['12+'],['PG'],['118 мин. / 01:58'],"['Назад в будущее 3 (1990)', 'Back to the Future Part III12+']","['Майкл Дж. Фокс', 'Кристофер Ллойд', 'Мэри Стинберген', 'Томас Ф. Уилсон', 'Лиа Томпсон', 'Элизабет Шу', 'Мэтт Кларк', 'Ричард А. Дайсарт', 'Пэт Баттрем', 'Гарри Кэри мл.']",['8.2'],,,,,,,
,,,['1999'],"['США, Австралия']","['фантастика, боевик']",['«Добро пожаловать в реальный мир»'],"['Лана Вачовски, Лилли Вачовски']","['Лилли Вачовски, Лана Вачовски']","['Джоэл Силвер, Брюс Берман, Дэн Краччиоло, ...']",['Билл Поуп'],['Дон Дэвис'],"['Оуэн Патерсон, Хью Бэйтап, Мишель МакГэхи, ...']",['Зак Стэнберг'],['$63 000 000'],['$30 000 000'],['$171 479 930'],['+ $292 037 453 = $463 517 383'],['33.8 млн'],"['14 октября 1999, «Каро-Премьер»']","['24 марта 1999, ...']","['12 сентября 2000, «Мост-Видео»']",['16+'],['R'],['136 мин. / 02:16'],"['Матрица (1999)', 'The Matrix16+']","['Киану Ривз', 'Лоренс Фишбёрн', 'Кэрри-Энн Мосс', 'Хьюго Уивинг', 'Глория Фостер', 'Джо Пантольяно', 'Маркус Чонг', 'Джулиан Араханга', 'Мэтт Доран', 'Белинда МакКлори']",['8.5'],"['27 января 2009, «Юниверсал Пикчерс Рус»']",,"['14 октября 2019, «Маурис Филм»']",,,,
"['Русский, Русский 5.1, Английский']",['Русские'],[],['2011'],"['Великобритания, США']","['фэнтези, детектив, приключения, семейный']",['«Все закончится»'],['Дэвид Йейтс'],"['Стивен Кловз, Дж.К. Роулинг']","['Дэвид Баррон, Дэвид Хейман, Дж.К. Роулинг, ...']",['Эдуарду Серра'],['Александр Деспла'],"['Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...']",['Марк Дэй'],['$125 000 000'],,['$381 011 219'],['+ $960 500 000 = $1 341 511 219'],['48 млн'],"['13 июля 2011, «Каро-Премьер»']","['7 июля 2011, ...']","['17 ноября 2011, «CP-Digital»']",['12+'],['PG-13'],['130 мин. / 02:10'],"['Гарри Поттер и Дары Смерти: Часть II (2011)', 'Harry Potter and the Deathly Hallows: Part 212+']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон', 'Хелена Бонем Картер', 'Робби Колтрейн', 'Уорвик Дэвис', 'Рэйф Файнс', 'Майкл Гэмбон', 'Джон Хёрт', 'Джейсон Айзекс']",['8.1'],"['17 ноября 2011, «CP-Digital»']",['$37 185 546'],,,,,
,,,['2016'],['Япония'],"['аниме, мультфильм, фэнтези, драма, мелодрама']","['«Я ищу тебя, хотя не знаю, кто ты»']",['Макото Синкай'],['Макото Синкай'],"['Коитиро Ито, Норитака Кавагути, Гэнки Кавамура, ...']",['Макото Синкай'],['Radwimps'],"['Акико Мадзима, Такуми Тандзи, Тасуку Ватанабэ']",['Макото Синкай'],,,['$5 017 246'],['+ $352 968 841 = $357 986 087'],['3.7 млн'],"['7 сентября 2017, «Экспонента»']","['3 июля 2016, ...']",,['12+'],['PG'],['110 мин. / 01:50'],"['Твоё имя (2016)', 'Kimi no na wa.12+']","['Рюносукэ Камики', 'Монэ Камисираиси', 'Рё Нарита', 'Аои Юки', 'Нобунага Симадзаки', 'Каито Исикава', 'Канон Тани', 'Масаки Тэрасома', 'Саяка Охара', 'Кадзухико Иноуэ']",['8.4'],,['$654 416'],,"['6 октября 2017, «Экспонента»']",,,
"['Русский, Русский 5.1, Английский, Английский 5.1']",['Русские'],[],['2014'],"['Ирландия, Дания, Бельгия, Франция']","['мультфильм, фэнтези, драма, приключения, семейный']",['—'],['Томм Мур'],"['Уилл Коллинз, Томм Мур']","['Мэри Коллери, Клеман Кальве, Жереми Фажнер, ...']",,['Бруно Куле'],['Адриен Мериго'],['Дарра Бирн'],['€5 300 000'],,['$857 522'],['+ $3 333 148 = $4 190 670'],,"['27 августа 2015, «Премиум Фильм»']","['6 сентября 2014, ...']",,['6+'],['PG'],['93 мин. / 01:33'],"['Песнь моря (2014)', 'Song of the Sea6+']","['Дэвид Роул', 'Брендан Глисон', 'Лиза Хэннигэн', 'Финола Флэнаган', 'Люси О’Коннелл', 'Джон Кенни', 'Пэт Шорт', 'Колм О’Снодай', 'Лиам Хурикан', 'Кевин Щвершч']",['8.2'],,['$35 245'],"['22 декабря 2022, «Capella Film», «Иноекино»']",,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['2005'],"['США, Италия, Швейцария, Таиланд']","['фантастика, боевик, фэнтези, приключения']",['«Сага окончена»'],['Джордж Лукас'],"['Джордж Лукас, Джон Острандер, Jan Duursema']","['Джордж Лукас, Рик МакКаллум']",['Дэвид Тэттерсолл'],['Джон Уильямс'],"['Гэвин Боке, Йен Грейси, Фил Харви, ...']","['Роджер Бартон, Бен Бертт']",['$113 000 000'],,['$380 270 577'],['+ $469 727 028 = $849 997 605'],['59.4 млн'],"['19 мая 2005, «Гемини Киномир»']","['12 мая 2005, ...']","['20 декабря 2005, «Гемини-Фильм»']",['12+'],['PG-13'],['140 мин. / 02:20'],"['Звёздные войны: Эпизод 3 — Месть ситхов (2005)', 'Star Wars: Episode III - Revenge of the Sith12+']","['Юэн Макгрегор', 'Натали Портман', 'Хейден Кристенсен', 'Иен Макдермид', 'Сэмюэл Л. Джексон', 'Джимми Смитс', 'Фрэнк Оз', 'Энтони Дэниелс', 'Кристофер Ли', 'Киша Касл-Хьюз']",['8.1'],,['$8 360 000'],,,,,
"['Русский, Английский, Английский 5.1']","['Русские, Английские']",[],['1998'],['США'],"['мультфильм, мюзикл, фэнтези, комедия, приключения, семейный, военный']",['«An Epic Motion Picture Event»'],"['Тони Бэнкрофт, Бэрри Кук']","['Рита Сяо, Крис Сандерс, Филип ЛаЗебник, ...']","['Пэм Коутс, Роберт С. Гарбер, Кендра Хааланд']",,['Джерри Голдсмит'],"['Ханс Бахер, Рик Слуйтер']",['Майкл Келли'],['$90 000 000'],,['$120 620 254'],['+ $183 700 000 = $304 320 254'],['25.7 млн'],"['25 декабря 1998, «Каскад фильм»']","['5 июня 1998, ...']","['17 августа 2010, «ВС трейд»']",['0+'],['G'],['84 мин. / 01:24'],"['Мулан (1998)', 'Mulan0+']","['Эдди Мерфи', 'Лиа Салонга', 'Мигель Феррер', 'Харви Файерстин', 'Фреда Фо Шен', 'Джун Форэй', 'Джеймс Хун', 'Мириам Маргулис', 'Пэт Морита', 'Марни Никсон']",['8.1'],"['26 февраля 2013, «Уолт Дисней Компани СНГ»']",,,,,,
"['Русский, Итальянский']",['Нет'],[],['1980'],['Италия'],"['мелодрама, комедия']",['—'],"['Франко Кастеллано, Джузеппе Моччиа']","['Франко Кастеллано, Джузеппе Моччиа, Уильям Шекспир']","['Марио Чекки Гори, Витторио Чекки Гори']",['Альфио Контини'],['Детто Мариано'],"['Бруно Амальфитано, Уэйн А. Финкелман']",['Антонио Сичильяно'],,,,,['56 млн'],,"['20 декабря 1980, ...']","['5 декабря 2011, «Азимут»']",['12+'],,['107 мин. / 01:47'],"['Укрощение строптивого (1980)', 'Il bisbetico domato12+']","['Адриано Челентано', 'Орнелла Мути', 'Эдит Питерс', 'Пиппо Сантонастасо', 'Милли Карлуччи', 'Сандро Гиани', 'Николя Дель Буоно', 'Энцо Де Тома', 'Джимми иль Феномено', 'Елена Мари']",['8.4'],,,,,,,
